episode,reward,epsilon
244,-21.0,0.807184
245,-21.0,0.8063127999999999
246,-21.0,0.8055181
247,-21.0,0.8047558
248,-21.0,0.8039737
249,-21.0,0.8032672
250,-21.0,0.8025544
251,-21.0,0.8018668
252,-20.0,0.8009857
253,-19.0,0.8001298
254,-21.0,0.7993729
255,-21.0,0.7985538999999999
256,-21.0,0.7977034000000001
257,-20.0,0.7968349
258,-21.0,0.7960771
259,-20.0,0.7951564
260,-19.0,0.7942033
261,-21.0,0.7935148
262,-21.0,0.7927561
263,-21.0,0.7917985
264,-21.0,0.7910524
265,-20.0,0.7902226
266,-21.0,0.7893973
267,-21.0,0.7884712
268,-21.0,0.7877665
269,-21.0,0.7869466
270,-21.0,0.7862401
271,-21.0,0.7855003
272,-21.0,0.7847614
273,-21.0,0.7839208
274,-21.0,0.7831018000000001
275,-21.0,0.7822234
276,-20.0,0.7813405
277,-20.0,0.7803703
278,-21.0,0.7796809
279,-21.0,0.7788826
280,-21.0,0.7781527
281,-21.0,0.7773679
282,-21.0,0.7766245
283,-21.0,0.7759351
284,-21.0,0.7752493
285,-21.0,0.7745356
286,-20.0,0.7736202999999999
287,-19.0,0.7726834
288,-20.0,0.7717959999999999
289,-20.0,0.7710112
290,-21.0,0.7702156
291,-20.0,0.7694065
292,-20.0,0.7685911
293,-21.0,0.7678495000000001
294,-21.0,0.7671619
295,-21.0,0.7663933
296,-21.0,0.7655725
297,-21.0,0.7647751
298,-21.0,0.7640335
299,-21.0,0.7633189
300,-21.0,0.7625449
301,-21.0,0.7617465999999999
302,-21.0,0.7610049999999999
303,-20.0,0.7600564
304,-19.0,0.7590627999999999
305,-21.0,0.758251
306,-21.0,0.7574563
307,-19.0,0.7566283
308,-21.0,0.7559398
309,-21.0,0.7551217
310,-21.0,0.7543783
311,-21.0,0.7535782
312,-20.0,0.7526691999999999
313,-21.0,0.7519663
314,-21.0,0.7511185
315,-21.0,0.7503588999999999
316,-19.0,0.7494894999999999
317,-21.0,0.7485994
318,-21.0,0.7478254
319,-20.0,0.7468363
320,-20.0,0.7459903
321,-21.0,0.7452307
322,-21.0,0.744463
323,-21.0,0.7437592
324,-20.0,0.7428772
325,-21.0,0.7420914999999999
326,-20.0,0.7412509
327,-21.0,0.7403706999999999
328,-21.0,0.7396129
329,-20.0,0.7386355
330,-21.0,0.7378921
331,-21.0,0.7370443
332,-21.0,0.7363027
333,-21.0,0.7355368
334,-21.0,0.7346611000000001
335,-21.0,0.733825
336,-21.0,0.7329745000000001
337,-21.0,0.732259
338,-20.0,0.731188
339,-21.0,0.7304032
340,-21.0,0.729604
341,-21.0,0.7288093
342,-20.0,0.7280245000000001
343,-20.0,0.7272676
344,-21.0,0.7265368
345,-21.0,0.7257664
346,-21.0,0.7250131
347,-21.0,0.7242454
348,-20.0,0.7234129
349,-21.0,0.7226695
350,-21.0,0.7219017999999999
351,-20.0,0.7210144
352,-19.0,0.7201135
353,-20.0,0.7193566
354,-18.0,0.7182406
355,-21.0,0.717472
356,-20.0,0.7166629
357,-20.0,0.7157557
358,-20.0,0.7149304
359,-21.0,0.7141168
360,-21.0,0.7132681
361,-21.0,0.7123482999999999
362,-19.0,0.7113439
363,-21.0,0.7105239999999999
364,-19.0,0.7096816
365,-21.0,0.7089103
366,-21.0,0.7080238
367,-21.0,0.7071796
368,-21.0,0.7064208999999999
369,-20.0,0.7054156
370,-19.0,0.7045102
371,-21.0,0.7037119000000001
372,-19.0,0.7028029
373,-21.0,0.7020172
374,-21.0,0.7012891
375,-21.0,0.7005466
376,-21.0,0.6997473999999999
377,-21.0,0.6990571
378,-20.0,0.6980284
379,-21.0,0.6971545
380,-21.0,0.696412
381,-21.0,0.6956146
382,-21.0,0.694819
383,-21.0,0.6940234000000001
384,-21.0,0.6932134
385,-20.0,0.6924142
386,-21.0,0.6916492
387,-21.0,0.6907771
388,-20.0,0.6900184
389,-21.0,0.6892777
390,-21.0,0.6884785
391,-21.0,0.6876325
392,-21.0,0.6868036
393,-21.0,0.6860584
394,-20.0,0.6851971
395,-21.0,0.6844375
396,-20.0,0.6836617
397,-21.0,0.682831
398,-21.0,0.6821443
399,-21.0,0.6813847
400,-21.0,0.680455
401,-19.0,0.6795613
402,-20.0,0.678511
403,-21.0,0.6777667
404,-21.0,0.6770809
405,-21.0,0.6762052000000001
406,-20.0,0.6753960999999999
407,-20.0,0.6745950999999999
408,-21.0,0.6738355
409,-20.0,0.6729499
410,-20.0,0.6720516999999999
411,-19.0,0.6710653
412,-21.0,0.670231
413,-21.0,0.6694588
414,-21.0,0.6686785
415,-21.0,0.6679351
416,-19.0,0.6669829
417,-20.0,0.6661288
418,-21.0,0.6653872
419,-21.0,0.6645097
420,-20.0,0.6636421
421,-21.0,0.6627466
422,-21.0,0.6617827000000001
423,-21.0,0.6607909000000001
424,-21.0,0.6600763000000001
425,-20.0,0.6589351
426,-21.0,0.6580296999999999
427,-21.0,0.6572313999999999
428,-21.0,0.6564907
429,-21.0,0.6555295
430,-19.0,0.6546843999999999
431,-21.0,0.653752
432,-20.0,0.6529042
433,-21.0,0.6521634999999999
434,-21.0,0.651349
435,-21.0,0.6505381
436,-20.0,0.6496309
437,-20.0,0.6488164000000001
438,-21.0,0.6480136
439,-20.0,0.6470785
440,-21.0,0.6463224999999999
441,-21.0,0.6455314000000001
442,-21.0,0.6447061000000001
443,-21.0,0.6438268
444,-21.0,0.6431382999999999
445,-21.0,0.64234
446,-21.0,0.6414355
447,-20.0,0.6405121
448,-20.0,0.6396814
449,-20.0,0.6384808
450,-21.0,0.6375898
451,-21.0,0.6368473
452,-20.0,0.6359014
453,-21.0,0.6350491
454,-21.0,0.634312
455,-20.0,0.633448
456,-20.0,0.6326047
457,-20.0,0.6317659
458,-21.0,0.6310603
459,-21.0,0.630208
460,-21.0,0.6294088
461,-21.0,0.6285781
462,-18.0,0.6276115
463,-20.0,0.6268087
464,-21.0,0.6258798999999999
465,-21.0,0.625087
466,-21.0,0.62434
467,-21.0,0.6235273
468,-21.0,0.6227434000000001
469,-20.0,0.621991
470,-21.0,0.6211116999999999
471,-21.0,0.6202909
472,-21.0,0.619363
473,-19.0,0.618463
474,-21.0,0.6176782
475,-21.0,0.6169393000000001
476,-21.0,0.6162211
477,-21.0,0.6154876
478,-20.0,0.6145335999999999
479,-20.0,0.613639
