episode,reward,epsilon
246,0.0,0.602974
247,1.0,0.6013657
248,-4.0,0.599761
249,-1.0,0.5981527
250,-20.0,0.5965435
251,-6.0,0.5949379
252,1.0,0.5933314000000001
253,-3.0,0.5917231000000001
254,-2.0,0.5901148
255,0.0,0.5885083
256,2.0,0.5869009000000001
257,-6.0,0.5852917
258,1.0,0.5836852
259,-13.0,0.5820787
260,0.0,0.5804713
261,0.0,0.5788621
262,4.0,0.5772556
263,-5.0,0.57565
264,5.0,0.5740417
265,2.0,0.5724324999999999
266,-4.0,0.5708269
267,2.0,0.5692177
268,1.0,0.5676103
269,-7.0,0.5660056
270,-1.0,0.5643955
271,-6.0,0.562789
272,-1.0,0.5611816000000001
273,2.0,0.5595751
274,6.0,0.5579659
275,7.0,0.5563602999999999
276,-11.0,0.5547511
277,-7.0,0.5531446
278,-4.0,0.5515381
279,4.0,0.5499288999999999
280,6.0,0.5483241999999999
281,-1.0,0.5467141
282,-6.0,0.5451066999999999
283,-4.0,0.5435002
284,-3.0,0.5418946
285,-5.0,0.5402863
286,-1.0,0.5386789
287,1.0,0.5370724
288,2.0,0.5354641
289,3.0,0.5338576
290,-5.0,0.5322475
291,-1.0,0.5306419
292,0.0,0.5290326999999999
293,-5.0,0.5274262
294,-6.0,0.5258206000000001
295,-15.0,0.5242123
296,3.0,0.5226031
297,1.0,0.5209984
298,-1.0,0.5193892
299,-7.0,0.5177827
300,2.0,0.5161744
301,-2.0,0.5145688
302,4.0,0.5129596000000001
303,-3.0,0.5113531
304,11.0,0.5097457000000001
305,-7.0,0.5081382999999999
306,7.0,0.5065318000000001
307,-6.0,0.5049216999999999
308,2.0,0.503317
309,-1.0,0.5017077999999999
310,-1.0,0.5001004
311,2.0,0.49849299999999996
312,6.0,0.4968864999999999
313,3.0,0.4952782
314,0.0,0.49367079999999997
315,4.0,0.49206250000000007
316,3.0,0.49045779999999994
317,3.0,0.4888504
318,-11.0,0.4872421
319,-2.0,0.4856338
320,-3.0,0.4840282
321,3.0,0.4824208
322,-7.0,0.48081339999999995
323,-4.0,0.4792033
324,-3.0,0.4775976999999999
325,8.0,0.4759894
326,6.0,0.47438290000000005
327,-13.0,0.47277459999999993
328,5.0,0.47116900000000006
329,0.0,0.4695616
330,7.0,0.46795149999999996
331,-3.0,0.46634679999999995
332,-8.0,0.4647376
333,-1.0,0.4631311
334,9.0,0.46152190000000004
335,0.0,0.45991629999999994
336,5.0,0.4583098
337,-8.0,0.4567015
338,1.0,0.4550949999999999
339,7.0,0.45348579999999994
340,1.0,0.45187749999999993
341,-1.0,0.4502701
342,5.0,0.4486645
343,-5.0,0.4470562
344,-4.0,0.44544969999999995
345,8.0,0.4438432
346,1.0,0.442234
347,-3.0,0.4406266
348,-3.0,0.4390201
349,-5.0,0.43741090000000005
350,3.0,0.43580530000000006
351,7.0,0.4341978999999999
352,-4.0,0.4325896
353,-12.0,0.4309839999999999
354,1.0,0.4293766
355,4.0,0.42776919999999996
356,4.0,0.42616089999999995
357,6.0,0.4245544
358,-7.0,0.42294699999999996
359,0.0,0.42133960000000004
360,3.0,0.4197295
361,-8.0,0.4181239
362,-1.0,0.41651740000000004
363,-8.0,0.4149090999999999
364,0.0,0.41329989999999994
365,-2.0,0.4116925
366,3.0,0.41008599999999995
367,3.0,0.40847769999999994
368,1.0,0.4068712
369,4.0,0.4052629
370,-3.0,0.40365549999999994
371,-2.0,0.4020481
372,-8.0,0.40044159999999995
373,-5.0,0.39883599999999997
374,2.0,0.3972258999999999
375,-2.0,0.3956212
376,-1.0,0.3940119999999999
377,-4.0,0.3924046
378,0.0,0.3907980999999999
379,0.0,0.3891916000000001
380,-10.0,0.3875815
381,-3.0,0.3859768
382,6.0,0.38436939999999997
383,-5.0,0.3827602
384,-2.0,0.3811545999999999
385,-1.0,0.3795463
386,-2.0,0.37793889999999997
387,-3.0,0.37633059999999996
388,-4.0,0.3747231999999999
389,4.0,0.3731148999999999
390,-2.0,0.37150840000000007
391,3.0,0.3699028
392,-1.0,0.36829539999999994
393,3.0,0.3666853
394,-5.0,0.3650806
395,-6.0,0.36347229999999997
396,0.0,0.3618658
397,-2.0,0.36025569999999996
398,-2.0,0.3586492
399,-4.0,0.35704270000000005
400,0.0,0.3554362
401,7.0,0.353827
402,-4.0,0.3522196000000001
403,9.0,0.350614
404,4.0,0.34900390000000003
405,8.0,0.3473965
406,1.0,0.34578909999999996
407,-7.0,0.34418439999999995
408,0.0,0.3425743
409,-10.0,0.3409696
410,2.0,0.3393613
411,-7.0,0.33775390000000005
412,1.0,0.33614469999999996
413,-3.0,0.33454000000000006
414,1.0,0.33293079999999997
415,-4.0,0.33132249999999996
416,3.0,0.329716
417,6.0,0.3281077
418,1.0,0.32650119999999994
419,1.0,0.32489290000000004
420,-1.0,0.3232864
421,2.0,0.32167900000000005
422,14.0,0.3200715999999999
423,1.0,0.3184659999999999
424,4.0,0.31685589999999997
425,8.0,0.3152503
426,7.0,0.313642
427,7.0,0.3120337000000001
428,5.0,0.31042899999999995
429,-10.0,0.3088198
430,14.0,0.30721239999999994
431,8.0,0.30560410000000005
